config_group,original_variant,new_variant,lineage_seed,resume_generations,initial_state_file
resume_add_5_to8,289,238,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=289/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,289,238,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=289/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,242,200,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=242/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,242,200,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=242/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,258,213,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=258/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,258,213,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=258/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,214,181,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=214/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,214,181,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=214/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,160,140,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=160/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,160,140,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=160/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,223,190,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=223/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,223,190,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=223/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,195,166,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=195/seed=101/generation=3/agent_id=000/daughter_state_1.json
