knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match
G6199,gene_knockout_TU_ID_rest_list_rerun2,TU0-3602[c],False,False,True
G6517,gene_knockout_TU_ID_rest_list_rerun2,TU0-3645[c],False,False,True
EG10652,gene_knockout_TU_ID_rest_list_rerun2,TU0-3862[c],False,False,True
EG11508,gene_knockout_TU_ID_rest_list_rerun2,TU0-3901[c],False,False,True
EG10838,gene_knockout_TU_ID_rest_list_rerun2,TU0-4181[c],False,False,True
EG10057,gene_knockout_TU_ID_rest_list_rerun2,TU0-42451[c],False,False,True
EG10058,gene_knockout_TU_ID_rest_list_rerun2,TU0-42451[c],False,False,True
EG10059,gene_knockout_TU_ID_rest_list_rerun2,TU0-42451[c],False,False,True
G6731,gene_knockout_TU_ID_rest_list_rerun2,TU0-42461[c],False,False,True
EG11226,gene_knockout_TU_ID_rest_list_rerun2,TU0-42478[c],True,True,True
EG11575,gene_knockout_TU_ID_rest_list_rerun2,TU0-42478[c],True,False,False
EG11576,gene_knockout_TU_ID_rest_list_rerun2,TU0-42478[c],True,True,True
EG11577,gene_knockout_TU_ID_rest_list_rerun2,TU0-42478[c],True,True,True
EG10358,gene_knockout_TU_ID_rest_list_rerun2,TU0-42482[c],False,False,True
EG10356,gene_knockout_TU_ID_rest_list_rerun2,TU0-42499[c],False,False,True
EG10980,gene_knockout_TU_ID_rest_list_rerun2,TU0-42509[c],False,True,False
EG10082,gene_knockout_TU_ID_rest_list_rerun2,TU0-42568[c],False,False,True
EG10946,gene_knockout_TU_ID_rest_list_rerun2,TU0-42569[c],False,True,False
EG10056,gene_knockout_TU_ID_rest_list_rerun2,TU0-42571[c],False,False,True
EG11647,gene_knockout_TU_ID_rest_list_rerun2,TU0-42602[c],False,True,False
EG11002,gene_knockout_TU_ID_rest_list_rerun2,TU0-42616[c],False,False,True
EG11223,gene_knockout_TU_ID_rest_list_rerun2,TU0-42684[c],False,True,False
EG12144,gene_knockout_TU_ID_rest_list_rerun2,TU0-4444[c],False,False,True
EG10675,gene_knockout_TU_ID_rest_list_rerun2,TU0-45147[c],False,False,True
EG10031,gene_knockout_TU_ID_rest_list_rerun2,TU0-45181[c],False,False,True
EG10024,gene_knockout_TU_ID_rest_list_rerun2,TU0-45222[c],False,False,True
EG10025,gene_knockout_TU_ID_rest_list_rerun2,TU0-45222[c],False,False,True
EG10330,gene_knockout_TU_ID_rest_list_rerun2,TU0-45225[c],False,False,True
EG10671,gene_knockout_TU_ID_rest_list_rerun2,TU0-45229[c],False,False,True
EG11490,gene_knockout_TU_ID_rest_list_rerun2,TU0-45231[c],False,False,True
EG12319,gene_knockout_TU_ID_rest_list_rerun2,TU0-45255[c],False,True,False
EG10049,gene_knockout_TU_ID_rest_list_rerun2,TU0-45265[c],False,False,True
EG11379,gene_knockout_TU_ID_rest_list_rerun2,TU0-45265[c],False,False,True
EG11005,gene_knockout_TU_ID_rest_list_rerun2,TU0-45291[c],False,False,True
EG10006,gene_knockout_TU_ID_rest_list_rerun2,TU0-4562[c],False,False,True
G7892,gene_knockout_TU_ID_rest_list_rerun2,TU0-4682[c],False,False,True
G7893,gene_knockout_TU_ID_rest_list_rerun2,TU0-4682[c],False,False,True
EG10115,gene_knockout_TU_ID_rest_list_rerun2,TU0-4802[c],False,False,True
EG10092,gene_knockout_TU_ID_rest_list_rerun2,TU0-4929[c],False,False,True
