generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
1,0.0,2220.0,112,0.00029639415632802464,411.06549395216064,807.7819647748261,1.9650930974732579,0.675539622047916,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
2,2235.0,4815.0,130,0.0002716542530381981,406.4966028368756,825.2282528328749,2.0300987685351792,0.7080844463209338,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
3,4835.0,7175.0,118,0.0002462977284359129,416.82469500920115,747.1067950236124,1.7923765169602548,0.5835424023935992,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
4,7194.0,9774.0,130,0.00023782214174101056,377.3172998935929,701.2623440885595,1.8585480821746636,0.6197955819161574,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
5,9781.0,12601.0,142,0.000235523701147229,353.2924996475642,695.1150403430652,1.9675341000346585,0.6767810328159812,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
6,12607.0,15487.0,145,0.00023007020758470894,350.171250435792,685.0667580308968,1.9563763649309407,0.671093968711982,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
7,15504.0,18384.0,145,0.00022071513082051305,343.89587790506084,651.5909027089763,1.894733099676352,0.6390779841169048,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
8,18404.0,21489.0,156,0.00024155589826061,654.3758831392045,695.8156612981845,1.0633271781963956,0.06140283958185438,gene_ko_trial40_seed101,6,101,KO: EG10043,EG10043,KO,1.0
1,0.0,2220.0,112,0.0002607318947757176,411.04969636914313,734.7248625118816,1.7874356045067163,0.5807819694863054,gene_ko_trial40_seed101,7,101,KO: EG10071,EG10071,KO,1.0
2,2235.0,4955.0,137,0.0002515883921461886,369.26954025968837,747.7056200240095,2.024823437909843,0.7054825056014996,gene_ko_trial40_seed101,7,101,KO: EG10071,EG10071,KO,1.0
3,4976.0,7576.0,131,0.0001992436667941873,377.026050935445,636.4930136816697,1.688193725877714,0.5236591561038261,gene_ko_trial40_seed101,7,101,KO: EG10071,EG10071,KO,1.0
4,7589.0,10689.0,156,0.00013055238642019953,318.9471303944315,479.1973588041326,1.502435084496684,0.40708718149997547,gene_ko_trial40_seed101,7,101,KO: EG10071,EG10071,KO,1.0
5,10693.0,16573.0,295,8.38446634138957e-05,238.9660201089887,392.14181807225634,1.6409940538550483,0.49530218861269204,gene_ko_trial40_seed101,7,101,KO: EG10071,EG10071,KO,1.0
6,16585.0,27385.0,541,5.131056277972448e-05,196.26300772230212,340.20221145243886,1.7333995611327848,0.5500845445351891,gene_ko_trial40_seed101,7,101,KO: EG10071,EG10071,KO,1.0
1,0.0,2220.0,112,0.00025849644889918154,411.0470863804371,735.3476567448965,1.788962094878612,0.5816356164198418,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
2,2235.0,4915.0,135,0.0002510849714647716,368.6767356240524,725.7511727746169,1.9685298871548025,0.6772870139914041,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
3,4919.0,7639.0,137,0.00025842000357646734,362.86934511424647,736.1603938100036,2.0287202645300044,0.7074051826992014,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
4,7655.0,10355.0,136,0.00023865728344733424,370.76539727851366,711.7192387209332,1.9195945574885993,0.6521139957659062,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
5,10364.0,13104.0,138,0.00023113408720699122,357.4077855822834,676.5451661671323,1.8929222962082795,0.6381218234228776,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
6,13117.0,16057.0,148,0.00022280661102908706,339.4688092543522,658.2696827338189,1.9391168342673868,0.6622326293536602,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
7,16077.0,19162.0,156,0.00023497207211103198,661.5891296887501,687.4522857136608,1.0390924742628076,0.038347711296880395,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
8,19182.0,22106.0,148,0.00022251521180615932,690.97822231756,673.2596312967855,0.9743572366704324,-0.025977269822038757,gene_ko_trial40_seed101,8,101,KO: EG10084,EG10084,KO,1.0
1,0.0,2220.0,112,0.00027305124331169497,411.0743045318309,754.8167628290546,1.8362051690112549,0.6077010337824562,gene_ko_trial40_seed101,10,101,KO: EG10107,EG10107,KO,1.0
2,2235.0,4895.0,134,0.0002641444837830677,378.7241407509266,768.5402195394086,2.0292876446047576,0.7076848174811707,gene_ko_trial40_seed101,10,101,KO: EG10107,EG10107,KO,1.0
