generation_reconstructed,start_time,end_time,n_points,growth_mean,dry_mass_start,dry_mass_end,fold_change_mass,log_fold_change_mass,project,variant,lineage_seed,label,gene_id,run_type,step_scale
3,6960.0,9097.0,7,0.00022003203636064764,431.49617924773656,373.7218517960332,0.8661069779286895,-0.14374684695355494,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
4,9497.0,11773.0,7,0.00022433598514434892,413.78229494742334,374.35255568439084,0.9047089743942703,-0.10014196225357057,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
5,12173.0,14429.0,7,0.00022902986160814516,415.844706655804,378.10884101364286,0.9092549092529505,-0.09512979589623474,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
6,14829.0,17030.0,7,0.0002150882529364753,419.98318967854243,362.6802772916453,0.8635590333252217,-0.14669301856112243,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
7,17430.0,19746.0,7,0.0001912181801058068,396.1428591260959,337.0362799498181,0.8507947882572745,-0.1615843213714855,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
8,20146.0,22546.0,7,0.00025456017035310074,370.9773778062885,686.1527676942278,1.8495811570820715,0.6149592118802688,gene_ko_441imported_2seeds,166,100,KO: EG11318,EG11318,KO,20.0
1,0.0,4077.0,12,0.00020821546469056759,266.9721654078893,367.32929028301237,1.375908569800878,0.3191142909378533,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
2,4477.0,6810.0,7,0.00020997920535574625,406.1295846007456,359.9121815807654,0.8862003538466294,-0.12081222093153152,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
3,7210.0,9605.0,7,0.00018879192458063824,395.0532563572177,330.6214460159064,0.8369034824938885,-0.17804652876916263,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
4,10005.0,12609.0,8,0.00017995035064434425,358.1946160527938,308.1527640315933,0.8602942373264904,-0.15048081182375267,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
5,13009.0,15986.0,9,0.00023628549153868335,336.9114017399007,374.65414825364553,1.112025732340405,0.10618333615454063,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
6,16386.0,18693.0,7,0.0002532408241732983,420.0534599245319,415.5267593264757,0.9892235131240926,-0.010834973779027274,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
7,19093.0,21106.0,7,0.00022835851559836322,464.3416452142678,396.8742364007246,0.8547030844446211,-0.15700114001286103,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
8,21506.0,23506.0,6,0.00024369555857315826,439.6919423959878,710.5687074883397,1.616060334461166,0.47999129508335897,gene_ko_441imported_2seeds,167,100,KO: G6517,G6517,KO,20.0
1,0.0,4023.0,12,0.00017391135279263043,266.9493849022739,315.2463706554877,1.1809218843897864,0.16629539141187896,gene_ko_441imported_2seeds,168,100,KO: EG10893,EG10893,KO,20.0
2,4423.0,7168.0,8,0.00010742124265153548,335.0562554661625,233.3596716184445,0.6964790772038327,-0.3617175261218359,gene_ko_441imported_2seeds,168,100,KO: EG10893,EG10893,KO,20.0
3,7568.0,13314.0,16,7.534410286785626e-05,242.52392563420403,191.23199375670384,0.7885077451910324,-0.23761304993732763,gene_ko_441imported_2seeds,168,100,KO: EG10893,EG10893,KO,20.0
4,13714.0,24114.0,27,4.936777203038972e-05,195.89466758312238,323.29257473870814,1.6503388209968912,0.5009806128905951,gene_ko_441imported_2seeds,168,100,KO: EG10893,EG10893,KO,20.0
1,0.0,4022.0,12,0.00021030126233694612,266.9828490349621,366.5872239594396,1.3730740580696779,0.317052064202036,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
2,4422.0,6717.0,7,0.00022734306081970094,406.35808204911825,374.56873243314385,0.9217701061692385,-0.08145942906619795,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
3,7117.0,9450.0,7,0.00022053938417269695,415.81336388126874,375.6704756105652,0.9034593599974676,-0.10152415059519566,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
4,9850.0,12035.0,7,0.00019506211651638505,412.44794143280876,339.48727457859513,0.8231033312937518,-0.19467353175896274,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
5,12435.0,15006.0,8,0.0001837369718140766,369.9689231672811,318.1043824472646,0.8598137911800607,-0.1510394350624812,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
6,15406.0,18277.0,9,0.0001824734931733803,349.6898883431013,316.51741497588284,0.905137453289267,-0.09966846472753962,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
7,18677.0,21497.0,9,0.00018811015082844878,342.37058726070893,312.65870683445166,0.9132171934978977,-0.09078153675746213,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
8,21897.0,24697.0,8,0.00025514180951934106,342.96511562275384,701.5820637984652,2.045636806310569,0.7157091377497511,gene_ko_441imported_2seeds,169,100,KO: EG10186,EG10186,KO,20.0
1,0.0,4026.0,12,0.00020469281053263257,266.95562515849963,360.9943173797717,1.3522633852178183,0.3017797701991069,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
2,4426.0,6742.0,7,0.0002100824845464427,396.7970407160109,343.7287255289681,0.8662582888942865,-0.14357215981467086,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
3,7142.0,9665.0,8,0.00019905651512760005,378.82717292328937,336.0898012731269,0.8871850418744471,-0.11970170301321457,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
4,10065.0,12619.0,8,0.00017896177138785206,364.54390418793867,304.87440581704027,0.8363173881515898,-0.17874708704757197,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
5,13019.0,16003.0,9,0.0001860214033819742,330.91993790894355,309.6508643576575,0.9357274339960184,-0.06643104790807722,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
6,16403.0,19341.0,9,0.0002064754884602398,339.30509941707214,352.423510521219,1.0386625816313528,0.037933906371829564,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
7,19741.0,22191.0,8,0.0002084277733779859,387.4727742935654,357.6255058011893,0.922969378824633,-0.08015922073423369,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
8,22591.0,24991.0,7,0.00022184553447962755,392.2404365362794,659.4184599211205,1.6811587957228094,0.519483314999328,gene_ko_441imported_2seeds,170,100,KO: EG11032,EG11032,KO,20.0
1,0.0,4045.0,12,0.00021048238912309725,266.9767240713055,368.2788764908938,1.3794418886963795,0.32167898888497437,gene_ko_441imported_2seeds,171,100,KO: EG10117,EG10117,KO,20.0
2,4445.0,6715.0,7,0.00019215340728927238,403.12155105622776,335.6101020283778,0.8325283060383111,-0.18328805645834695,gene_ko_441imported_2seeds,171,100,KO: EG10117,EG10117,KO,20.0
3,7115.0,9752.0,8,0.000223974824031829,371.04202819499994,365.0088634620156,0.9837399424471299,-0.016393702990583098,gene_ko_441imported_2seeds,171,100,KO: EG10117,EG10117,KO,20.0
4,10152.0,12537.0,7,0.00020541880805555424,404.4118870269066,358.63855678805135,0.8868150721894833,-0.12011880523028272,gene_ko_441imported_2seeds,171,100,KO: EG10117,EG10117,KO,20.0
