gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
metb,metB,EG10582_RNA,True,0,False,expected_nonessential,False,2
metf,metF,EG10585_RNA,True,1,True,expected_essential,True,2
metg,metG,EG10586_RNA,False,1,True,expected_essential,False,2
metn,metN,EG11621_RNA,False,0,False,expected_nonessential,True,2
mgsa,mgsA,G6497_RNA,False,0,False,expected_nonessential,True,2
miab,miaB,G6364_RNA,False,0,False,expected_nonessential,True,2
mltc,mltC,G7533_RNA,True,0,False,expected_nonessential,False,2
mpaa,mpaA,G6662_RNA,False,0,False,expected_nonessential,True,2
msba,msbA,EG10613_RNA,False,1,True,expected_essential,False,2
murj,murJ,G6561_RNA,True,1,True,expected_essential,True,2
nadc,nadC,EG11546_RNA,False,1,True,expected_essential,False,2
nadr,nadR,EG11335_RNA,False,0,False,expected_nonessential,True,2
nagd,nagD,EG10634_RNA,False,0,False,expected_nonessential,True,2
nana,nanA,EG10637_RNA,False,0,False,expected_nonessential,True,2
nane,nanE,G7677_RNA,False,0,False,expected_nonessential,True,2
nank,nanK,G7676_RNA,False,0,False,expected_nonessential,True,2
ndk,ndk,EG10650_RNA,True,0,False,expected_nonessential,False,2
nhaa,nhaA,EG10652_RNA,False,0,False,expected_nonessential,True,2
nhoa,nhoA,G6770_RNA,False,0,False,expected_nonessential,True,2
nika,nikA,EG12075_RNA,False,0,False,expected_nonessential,True,2
nikd,nikD,EG12078_RNA,False,0,False,expected_nonessential,True,2
nirc,nirC,EG10654_RNA,False,0,False,expected_nonessential,True,2
nrdb,nrdB,EG10661_RNA,False,0,False,expected_nonessential,True,2
nudf,nudF,EG12633_RNA,False,0,False,expected_nonessential,True,2
nuog,nuoG,EG12087_RNA,False,0,False,expected_nonessential,True,2
nuoh,nuoH,EG12088_RNA,False,0,False,expected_nonessential,True,2
nupc,nupC,EG11971_RNA,False,0,False,expected_nonessential,True,2
ompf,ompF,EG10671_RNA,False,0,False,expected_nonessential,True,2
oppb,oppB,EG10675_RNA,False,0,False,expected_nonessential,True,2
orn,orn,G7842_RNA,False,1,True,expected_essential,False,2
paaa,paaA,G6709_RNA,False,0,False,expected_nonessential,True,2
paab,paaB,G6710_RNA,False,0,False,expected_nonessential,True,2
paac,paaC,G6711_RNA,False,0,False,expected_nonessential,True,2
panc,panC,EG11746_RNA,False,0,False,expected_nonessential,True,2
pane,panE,G6239_RNA,False,0,False,expected_nonessential,True,2
pdxy,pdxY,G6879_RNA,False,0,False,expected_nonessential,True,2
pfkb,pfkB,EG10700_RNA,False,0,False,expected_nonessential,True,2
pgl,pgl,G6397_RNA,False,0,False,expected_nonessential,True,2
pgm,pgm,EG12144_RNA,False,0,False,expected_nonessential,True,2
phea,pheA,EG10707_RNA,False,0,False,expected_nonessential,True,2
phes,pheS,EG10709_RNA,False,1,True,expected_essential,False,2
phet,pheT,EG10710_RNA,False,1,True,expected_essential,False,2
pnta,pntA,EG10744_RNA,False,0,False,expected_nonessential,True,2
potb,potB,EG10750_RNA,False,0,False,expected_nonessential,True,2
potg,potG,EG11630_RNA,False,0,False,expected_nonessential,True,2
poth,potH,EG11631_RNA,False,0,False,expected_nonessential,True,2
poti,potI,EG11632_RNA,False,0,False,expected_nonessential,True,2
ppa,ppa,EG10755_RNA,False,1,True,expected_essential,False,2
ppsa,ppsA,EG10759_RNA,False,0,False,expected_nonessential,True,2
prmc,prmC,EG12424_RNA,False,0,False,expected_nonessential,True,2
proc,proC,EG10769_RNA,False,0,False,expected_nonessential,True,2
pros,proS,EG10770_RNA,False,1,True,expected_essential,False,2
prow,proW,EG10772_RNA,False,0,False,expected_nonessential,True,2
prpd,prpD,G6199_RNA,False,0,False,expected_nonessential,True,2
prs,prs,EG10774_RNA,False,1,True,expected_essential,False,2
psta,pstA,EG10782_RNA,False,0,False,expected_nonessential,True,2
pura,purA,EG10790_RNA,True,1,True,expected_essential,True,2
purb,purB,EG11314_RNA,True,1,True,expected_essential,True,2
purc,purC,EG10791_RNA,True,1,True,expected_essential,True,2
purd,purD,EG10792_RNA,True,1,True,expected_essential,True,2
pure,purE,EG10793_RNA,True,1,True,expected_essential,True,2
purf,purF,EG10794_RNA,True,1,True,expected_essential,True,2
purh,purH,EG10795_RNA,True,1,True,expected_essential,True,2
purk,purK,EG10796_RNA,True,1,True,expected_essential,True,2
purl,purL,EG10797_RNA,True,1,True,expected_essential,True,2
purm,purM,EG10798_RNA,True,1,True,expected_essential,True,2
puru,purU,EG11819_RNA,False,0,False,expected_nonessential,True,2
puuc,puuC,EG10036_RNA,False,0,False,expected_nonessential,True,2
puup,puuP,G6643_RNA,False,0,False,expected_nonessential,True,2
pyka,pykA,EG10803_RNA,False,0,False,expected_nonessential,True,2
pyrb,pyrB,EG10805_RNA,False,0,False,expected_nonessential,True,2
pyrc,pyrC,EG10806_RNA,False,1,True,expected_essential,False,2
pyrd,pyrD,EG10807_RNA,False,1,True,expected_essential,False,2
pyre,pyrE,EG10808_RNA,False,0,False,expected_nonessential,True,2
pyrf,pyrF,EG10809_RNA,False,1,True,expected_essential,False,2
pyrg,pyrG,EG10810_RNA,False,1,True,expected_essential,False,2
pyrh,pyrH,EG11539_RNA,False,1,True,expected_essential,False,2
pyri,pyrI,EG10811_RNA,False,0,False,expected_nonessential,True,2
rcna,rcnA,G7138_RNA,True,0,False,expected_nonessential,False,2
rdgb,rdgB,G7530_RNA,False,0,False,expected_nonessential,True,2
rfad,rfaD,EG10838_RNA,False,0,False,expected_nonessential,True,2
