gene_id,gene_name,gene_symbol,RNA ID,overall_label_death,label_death_bool,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
1030,trpC,trpc,EG11026_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
1031,trpD,trpd,EG11027_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
1032,trpE,trpe,EG11028_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
1033,trpR,trpr,EG11029_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1034,trpS,trps,EG11030_RNA,deadly_gene,True,1,True,expected_essential,True,2
1036,trxB,trxb,EG11032_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
1043,tyrA,tyra,EG11039_RNA,deadly_gene,True,0,False,expected_nonessential,False,2
1044,tyrB,tyrb,EG11040_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1045,tyrP,tyrp,EG11041_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1047,tyrS,tyrs,EG11043_RNA,deadly_gene,True,1,True,expected_essential,True,2
1054,ugpQ,ugpq,EG11050_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1071,valS,vals,EG11067_RNA,deadly_gene,True,1,True,expected_essential,True,2
1078,xylA,xyla,EG11074_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1079,xylB,xylb,EG11075_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1085,rihC,rihc,EG11082_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1105,gsk,gsk,EG11102_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1113,aat,aat,EG11112_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1120,yciA,ycia,EG11121_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1167,ttdB,ttdb,EG11169_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1194,glmU,glmu,EG11198_RNA,not_deadly,False,1,True,expected_essential,False,2
1214,zwf,zwf,EG11221_RNA,not_deadly,False,0,False,expected_nonessential,True,2
1216,argH,argh,EG11223_RNA,deadly_gene,True,1,True,expected_essential,True,2
