operon_id,num_tus,tu_ids
OP561,1,EG10901_RNA[c]
OP562,1,TU0-7842[c]
OP563,1,TU0-13449[c]
OP564,1,TU0-14228[c]
OP565,3,TU0-8241[c];TU0-8242[c];TU0-8243[c]
OP566,1,TU0-6513[c]
OP567,1,TU0-12917[c]
OP568,1,TU0-3426[c]
OP569,1,TU0-14080[c]
OP570,1,TU00223[c]
OP571,3,TU0-198705[c];TU0-198882[c];TU0-6702[c]
OP572,1,TU0-13452[c]
OP573,4,TU0-13995[c];TU0-13996[c];TU0-13997[c];TU0-42596[c]
OP574,3,TU869[c];TU870[c];yajC[c]
OP575,1,TU00355[c]
OP576,2,TU0-14527[c];TU00356[c]
OP577,1,TU0-2342[c]
OP578,3,TU0-14224[c];TU0-14225[c];TU0-6514[c]
OP579,1,TU0-13080[c]
OP580,1,TU0-13287[c]
OP581,1,TU0-14226[c]
OP582,1,TU0-6630[c]
OP583,1,TU0-3423[c]
OP584,1,TU00064[c]
OP585,1,TU0-1681[c]
OP586,1,TU0-13872[c]
OP587,1,TU0-45253[c]
OP588,1,TU00456[c]
OP589,1,TU00211[c]
OP590,2,TU0-6625[c];TU00204[c]
OP591,1,TU00124[c]
OP592,3,TU0-44215[c];TU0-44217[c];TU00359[c]
OP593,1,TU0-14004[c]
OP594,1,TU0-13391[c]
OP595,2,TU0-7042[c];TU00133[c]
OP596,1,TU0-8521[c]
OP597,1,TU0-6563[c]
OP598,1,TU00361[c]
OP599,1,TU0-42509[c]
OP600,1,EG10981_RNA[c]
OP601,1,EG10982_RNA[c]
OP602,1,TU0-13658[c]
OP603,1,TU00066[c]
OP604,1,TU0-13978[c]
OP605,2,TU0-14551[c];TU00125[c]
OP606,1,TU0-13870[c]
OP607,1,TU0-8527[c]
OP608,1,TU0-8528[c]
OP609,1,TU0-14021[c]
OP610,2,TU0-42486[c];TU00178[c]
OP611,3,TU0-42614[c];TU0-42616[c];TU00295[c]
OP612,1,TU0-12928[c]
OP613,1,TU0-13435[c]
OP614,3,TU0-42514[c];TU0-45291[c];TU00085[c]
OP615,1,TU00367[c]
OP616,1,TU0-13838[c]
OP617,1,TU00167[c]
OP618,1,TU0-2501[c]
OP619,1,TU0-14668[c]
OP620,1,EG11016_RNA[c]
OP621,1,TU00396[c]
OP622,1,TU0-14627[c]
OP623,1,TU0-13908[c]
OP624,1,TU0-13233[c]
OP625,1,TU00430[c]
OP626,3,TU0-42510[c];TU00067[c];TU3[c]
OP627,1,TU00220[c]
OP628,1,TU0-3102[c]
OP629,1,TU0-13078[c]
OP630,1,EG11033_RNA[c]
OP631,1,TU0-1541[c]
OP632,1,TU00449[c]
OP633,1,EG11037_RNA[c]
OP634,1,TU0-13346[c]
OP635,1,TU00087[c]
OP636,1,TU0-6631[c]
OP637,3,TU0-13214[c];TU0-14473[c];TU00068[c]
OP638,3,TU0-14496[c];TU0-14629[c];TU0-8864[c]
OP639,1,TU00134[c]
OP640,1,TU0-5981[c]
OP641,1,TU00130[c]
OP642,1,TU0-5081[c]
OP643,1,TU00180[c]
OP644,1,TU0-6515[c]
OP645,1,TU0-8534[c]
OP646,1,TU00069[c]
OP647,1,TU0-14730[c]
OP648,2,TU0-6559[c];TU0-6686[c]
OP649,1,TU0-7043[c]
OP650,1,TU0-36422[c]
OP651,1,TU101[c]
OP652,3,TU0-14322[c];TU0-14474[c];TU0-6405[c]
OP653,1,TU491[c]
OP654,1,TU542[c]
OP655,1,TU67[c]
OP656,1,TU0-14113[c]
OP657,1,TU0-12797[c]
OP658,2,TU0-14488[c];TU0-3841[c]
OP659,1,EG11084_RNA[c]
OP660,1,EG11085_RNA[c]
OP661,1,EG11086_RNA[c]
OP662,2,TU0-12822[c];mtn[c]
OP663,1,TU0-12857[c]
OP664,1,TU0-8764[c]
OP665,1,TU0-12919[c]
OP666,1,TU0-12939[c]
OP667,1,TU0-5421[c]
OP668,1,TU0-8806[c]
OP669,1,TU0-8799[c]
OP670,1,TU0-6042[c]
OP671,1,TU00408[c]
OP672,1,TU0-6486[c]
OP673,1,TU0-13077[c]
OP674,1,TU0-13105[c]
OP675,1,TU0-921[c]
OP676,1,TU0-13129[c]
OP677,1,TU0-13134[c]
OP678,1,TU0-13152[c]
OP679,1,TU0-13189[c]
OP680,1,TU0-13190[c]
OP681,1,TU0-8813[c]
OP682,3,TU0-13193[c];TU0-36408[c];TU0-36411[c]
OP683,1,TU0-13323[c]
OP684,1,TU0-13375[c]
OP685,1,TU0-13378[c]
OP686,1,TU0-8244[c]
OP687,1,TU0-13450[c]
OP688,1,TU0-8718[c]
OP689,1,TU0-13563[c]
OP690,1,TU00126[c]
OP691,1,TU0-13618[c]
OP692,1,TU791[c]
OP693,1,TU0-42559[c]
OP694,1,TU686[c]
OP695,1,EG11151_RNA[c]
OP696,2,TU0-13679[c];TU0-14765[c]
OP697,1,EG11158_RNA[c]
OP698,1,TU0-13799[c]
OP699,1,TU0-13800[c]
OP700,2,TU0-13801[c];TU0-14493[c]
OP701,1,TU0-8755[c]
OP702,1,TU0-8666[c]
OP703,1,TU00368[c]
OP704,1,TU0-8571[c]
OP705,1,TU0-13871[c]
OP706,1,EG11175_RNA[c]
OP707,1,TU0-42699[c]
OP708,1,EG11177_RNA[c]
OP709,1,EG11178_RNA[c]
OP710,1,TU0-13909[c]
OP711,1,TU00478[c]
OP712,1,TU0-8582[c]
OP713,1,TU0-13982[c]
OP714,1,TU0-14000[c]
OP715,1,TU0-14001[c]
OP716,1,TU0-14002[c]
OP717,1,TU0-14005[c]
OP718,1,TU0-14019[c]
