gene_id,monomer_id,mean_functional_units,num_complexes,is_functional
G7194,G7194-MONOMER[c],0.23876166242578456,1,False
G6550,G6550-MONOMER[c],0.23918575063613232,1,False
G7723,G7723-MONOMER[c],0.24052869663556684,1,False
EG12216,EG12216-MONOMER[c],0.2408821034775233,1,False
EG11610,EVGS-MONOMER[p],0.24130619168787107,1,False
Unknown,HOMO-CYS[c],0.24173027989821882,1,False
Unknown,CPLX0-7759[c],0.24173027989821882,1,False
EG11918,EG11918-MONOMER[p],0.24183630195080577,1,False
EG10635,NAGE-MONOMER[i],0.2430025445292621,1,False
EG11510,PPK-MONOMER[c],0.2430025445292621,2,False
EG11102,GSK-MONOMER[c],0.24342663273960985,1,False
G7853,G7853-MONOMER[c],0.24342663273960985,1,False
EG11460,NARQ-MONOMER[i],0.24342663273960985,1,False
EG12615,TORR-MONOMER[c],0.24427480916030533,1,False
EG10120,DETHIOBIOTIN-SYN-MONOMER[c],0.2446988973706531,1,False
EG11212,EG11212-MONOMER[c],0.2446988973706531,1,False
EG12189,COPROGENOXI-MONOMER[c],0.24512298558100085,1,False
G6092,UPPSYN-MONOMER[c],0.2455470737913486,1,False
EG10413,PPPGPPHYDRO-MONOMER[c],0.24597116200169636,1,False
EG11254,EG11254-MONOMER[c],0.24766751484308736,1,False
EG10615,MTLA-MONOMER[i],0.2480916030534351,1,False
EG11549,EG11549-MONOMER[c],0.24936386768447838,1,False
G6326,G6326-MONOMER[c],0.24936386768447838,1,False
EG10242,EG10242-MONOMER[c],0.2502120441051739,3,False
EG10203,EG10203-MONOMER[p],0.2502120441051739,1,False
EG10852,EG10852-MONOMER[c],0.2506361323155216,1,False
EG11454,DTDPGLUCOSEPP2-MONOMER[c],0.2508481764206955,1,False
EG10208,MONOMER0-1981[c],0.2510602205258694,1,False
EG11810,GCVP-MONOMER[c],0.25148430873621713,1,False
G7021,G7021-MONOMER[c],0.251696352841391,1,False
EG12165,EG12165-MONOMER[c],0.25190839694656486,3,False
G7242,G7242-MONOMER[c],0.25233248515691264,1,False
EG10269,ENVZ-MONOMER[c],0.25233248515691264,1,False
EG10560,MALDEXPHOSPHORYL-MONOMER[c],0.2527565733672604,1,False
EG10454,EG10454-MONOMER[c],0.25318066157760816,1,False
EG10732,PHOQ-MONOMER[i],0.2536047497879559,2,False
EG12410,EG12410-MONOMER[c],0.2544529262086514,1,False
EG12600,EG12600-MONOMER[c],0.2544529262086514,1,False
EG11574,SFUA-MONOMER[p],0.2548770144189991,1,False
EG11573,SFUB-MONOMER[i],0.2548770144189991,1,False
EG10533,PD00205[c],0.2548770144189991,1,False
EG11572,SFUC-MONOMER[m],0.2548770144189991,1,False
EG10078,AROF-MONOMER[c],0.2553011026293469,1,False
G0-9121,MONOMER0-1041[c],0.2553011026293469,2,False
EG10605,MONOMER0-4521[c],0.25572519083969464,1,False
EG10738,MONOMER0-341[o],0.25572519083969464,1,False
EG11018,TRG-MONOMER[i],0.2561492790500424,1,False
G7365,G7365-MONOMER[c],0.25657336726039015,2,False
G7007,G7007-MONOMER[i],0.2568560927339554,1,False
EG11430,EG11430-MONOMER[c],0.25699745547073793,1,False
EG10936,SECA[c],0.25742154368108566,2,False
G7714,G7714-MONOMER[c],0.2578456318914334,1,False
G7713,G7713-MONOMER[c],0.2578456318914334,1,False
G7712,G7712-MONOMER[c],0.2578456318914334,1,False
G7020,G7020-MONOMER[c],0.2578456318914334,1,False
EG12209,EG12209-MONOMER[i],0.2578456318914334,1,False
G6941,SUCCARGDIHYDRO-MONOMER[c],0.2582697201017812,1,False
EG10496,DIHYDROXYACIDDEHYDRAT-MONOMER[c],0.2586938083121289,1,False
G7816,G7816-MONOMER[p],0.2586938083121289,1,False
EG11456,RFFTRANS-MONOMER[c],0.2586938083121289,1,False
EG10247,HOLO-ACP-SYNTH-MONOMER[c],0.2586938083121289,1,False
EG10500,ACETOLACTSYNIII-ICHAIN-MONOMER[c],0.2591178965224767,1,False
EG12313,EG12313-MONOMER[c],0.2591178965224767,1,False
EG10499,ACETOLACTSYNIII-HCHAIN-MONOMER[c],0.2591178965224767,1,False
EG10002,MODB-MONOMER[i],0.2595419847328244,1,False
EG12427,MODA-MONOMER[p],0.2595419847328244,1,False
EG10152,MODC-MONOMER[i],0.2595419847328244,1,False
EG10828,EG10828-MONOMER[c],0.2595419847328244,1,False
EG10619,UDP-NACMUR-ALA-LIG-MONOMER[c],0.2599660729431722,1,False
EG10618,EG10618-MONOMER[c],0.26039016115351993,2,False
G6759,G6759-MONOMER[c],0.2608142493638677,1,False
EG11884,EG11884-MONOMER[c],0.26123833757421544,1,False
EG10394,AERGLYC3PDEHYDROG-MONOMER[i],0.26123833757421544,1,False
G85,XANTHOSINEPHOSPHORY-MONOMER[c],0.2627933276788239,1,False
EG10380,GLYCOPHOSPHORYL-MONOMER[c],0.26293469041560646,1,False
EG10781,PHOSPHASERSYN-MONOMER[c],0.26293469041560646,1,False
G7262,G7262-MONOMER[c],0.2631467345207803,1,False
EG11616,SUGE-MONOMER[i],0.2633587786259542,1,False
EG11039,CHORISMUTPREPHENDEHYDROG-MONOMER[c],0.2633587786259542,1,False
Unknown,ASN[c],0.263782866836302,1,False
Unknown,CPLX0-7733[c],0.263782866836302,1,False
EG11530,ACYLCOASYN-MONOMER[c],0.263782866836302,1,False
EG12399,EG12399-MONOMER[c],0.2642069550466497,2,False
EG11702,EG11702-MONOMER[c],0.26463104325699743,1,False
EG10014,ACRD-MONOMER[i],0.2650551314673452,1,False
EG11703,EG11703-MONOMER[p],0.2650551314673452,2,False
EG10222,DEOD-MONOMER[c],0.26576194515125817,1,False
G7259,PDXK-MONOMER[c],0.26632739609838846,1,False
EG11088,EG11088-MONOMER[c],0.26717557251908397,1,False
G6334,G6334-MONOMER[c],0.26717557251908397,1,False
G6237,DXS-MONOMER[c],0.2675996607294317,1,False
EG10971,SORB6PDEHYDROG-MONOMER[c],0.2680237489397795,1,False
EG11692,EG11692-MONOMER[c],0.2680237489397795,1,False
EG11081,EG11081-MONOMER[c],0.2684478371501272,1,False
EG10067,CHAINF-MONOMER[c],0.26858919988690977,1,False
EG10412,GLUTATHIONE-REDUCT-NADPH-MONOMER[m],0.268871925360475,1,False
G7616,G7616-MONOMER[c],0.2692960135708227,1,False
EG10284,EG10284-MONOMER[c],0.2697201017811705,1,False
EG10144,EG10144-MONOMER[c],0.2703562340966921,1,False
G7924,G7924-MONOMER[c],0.27099236641221375,1,False
EG11299,EG11299-MONOMER[i],0.2714164546225615,1,False
EG10066,ACETYLORNTRANSAM-MONOMER[c],0.2714164546225615,1,False
G6501,G6501-MONOMER[c],0.27184054283290926,1,False
EG10358,FUMC-MONOMER[c],0.2720525869380831,1,False
EG11085,EG11085-MONOMER[c],0.27268871925360477,1,False
G7961,PHENDEHYD-MONOMER[c],0.2731128074639525,1,False
EG10193,ACSERLYB-MONOMER[c],0.27353689567430023,1,False
EG10143,EG10143-MONOMER[c],0.27523324851569125,1,False
EG12371,EG12371-MONOMER[i],0.27565733672603904,1,False
EG10200,PD04028[c],0.27565733672603904,1,False
EG12633,EG12633-MONOMER[c],0.27565733672603904,1,False
EG11723,EG11723-MONOMER[c],0.2767175572519084,1,False
G7456,G7456-MONOMER[c],0.2769296013570823,1,False
G7740,G7740-MONOMER[c],0.27735368956743,1,False
EG11652,EG11652-MONOMER[p],0.2782018659881255,1,False
G58,MALTACETYLTRAN-MONOMER[c],0.2782018659881255,1,False
EG11407,DALADEHYDROGA-MONOMER[i],0.2786259541984733,1,False
EG10202,EG10202-MONOMER[p],0.28074639525021206,1,False
G7678,G7678-MONOMER[c],0.2811704834605598,1,False
EG11492,QOR-MONOMER[c],0.2820186598812553,1,False
EG10449,ATPPHOSRIBOSTRANS-MONOMER[c],0.2828668363019508,1,False
EG10960,AGMATIN-MONOMER[c],0.2828668363019508,1,False
G0-9461,ERYTHRON4PDEHYDROG-MONOMER[c],0.2837150127226463,1,False
EG11131,EG11131-MONOMER[c],0.28477523324851567,1,False
G7845,G7845-MONOMER[c],0.28541136556403734,1,False
EG11331,GTP-CYCLOHYDRO-II-MONOMER[c],0.2858354537743851,1,False
EG11621,ABC-MONOMER[m],0.2858354537743851,1,False
EG11737,METI-MONOMER[m],0.2858354537743851,1,False
EG11504,METQ-MONOMER[m],0.2858354537743851,1,False
EG12417,GALACTITOLPDEHYD-MONOMER[c],0.2866836301950806,1,False
EG11261,EG11261-MONOMER[c],0.2879558948261238,1,False
RUVA,EG10923-MONOMER[c],0.288238620299689,1,False
RUVB,EG10924-MONOMER[c],0.288238620299689,1,False
EG10925,EG10925-MONOMER[c],0.288238620299689,1,False
G6209,G6209-MONOMER[c],0.2883799830364716,1,False
EG10016,KDGALDOL-MONOMER[c],0.2886627085100367,1,False
EG10579,MEND-MONOMER[i],0.28880407124681934,1,False
EG12301,PD01352[c],0.28880407124681934,1,False
G7590,G7590-MONOMER[c],0.28922815945716707,1,False
EG11329,SUCCSEMIALDDEHYDROG-MONOMER[c],0.28922815945716707,1,False
EG10686,EG10686-MONOMER[c],0.2900763358778626,1,False
EG10687,EG10687-MONOMER[c],0.2900763358778626,1,False
EG10809,OROTPDECARB-MONOMER[c],0.2900763358778626,1,False
EG10385,PROTEIN-NRI[c],0.2909245122985581,1,False
EG10546,LIPIDADISACCHARIDESYNTH-MONOMER[c],0.2909245122985581,1,False
G6491,G6491-MONOMER[p],0.29106587503534065,1,False
EG10057,ARAF-MONOMER[p],0.2913486005089059,1,False
EG10059,ARAH-MONOMER[m],0.2913486005089059,1,False
EG10058,ARAG-MONOMER[c],0.2913486005089059,1,False
EG10580,EG10580-MONOMER[p],0.2913486005089059,1,False
EG10553,LYSU-MONOMER[c],0.2913486005089059,1,False
EG10932,SDH-FE-S[i],0.2917726887192536,2,False
EG10934,SDH-MEMB2[i],0.2917726887192536,2,False
EG10933,SDH-MEMB1[i],0.2917726887192536,2,False
EG10931,SDH-FLAVO[i],0.2917726887192536,2,False
EG11167,EG11167-MONOMER[i],0.29219677692960133,1,False
EG12412,DTDPGLUCDEHYDRAT-MONOMER[c],0.29219677692960133,1,False
EG50007,EUTC-MONOMER[c],0.2923381396663839,1,False
EG50006,EUTB-MONOMER[c],0.2923381396663839,1,False
EG10446,HISTPHOSTRANS-MONOMER[c],0.2926208651399491,1,False
EG11597,EG11597-MONOMER[c],0.29346904156064463,2,False
EG11598,EG11598-MONOMER[c],0.29346904156064463,1,False
EG10447,HISTDEHYD-MONOMER[c],0.29389312977099236,1,False
M007,THZ-KIN-MONOMER[c],0.29474130619168787,1,False
EG11157,EG11157-MONOMER[c],0.2951653944020356,1,False
EG11023,EG11023-MONOMER[c],0.2951653944020356,1,False
G7327,G7327-MONOMER[c],0.2951653944020356,1,False
EG12177,EG12177-MONOMER[c],0.29544811987560077,1,False
G7058,G7058-MONOMER[p],0.2960135708227311,1,False
EG10596,EG10596-MONOMER[c],0.2964376590330789,2,False
EG10691,PDXA-MONOMER[c],0.2964376590330789,1,False
G6720,G6720-MONOMER[c],0.2964376590330789,1,False
EG10597,EG10597-MONOMER[c],0.2964376590330789,1,False
EG10424,EG10424-MONOMER[c],0.2964376590330789,1,False
EG10423,EG10423-MONOMER[c],0.2964376590330789,1,False
EG10528,EG10528-MONOMER[o],0.29855810008481765,1,False
EG10277,FABH-MONOMER[c],0.30025445292620867,1,False
EG10435,EG10435-MONOMER[m],0.30025445292620867,2,False
EG10092,ASNSYNB-MONOMER[c],0.30025445292620867,1,False
EG10436,EG10436-MONOMER[c],0.30025445292620867,2,False
EG12129,URAA-MONOMER[i],0.3006785411365564,1,False
EG11286,ACETYLORNDEACET-MONOMER[c],0.30279898218829515,1,False
EG11867,RHAMNISOM-MONOMER[c],0.30301102629346904,1,False
EG50011,H2PTEROATESYNTH-MONOMER[c],0.30322307039864294,1,False
EG20091,GLYC3PDEHYDROGBIOSYN-MONOMER[c],0.30364715860899066,1,False
EG11517,EG11517-MONOMER[c],0.30364715860899066,1,False
EG10209,DIAMINOPIMEPIM-MONOMER[c],0.30364715860899066,1,False
EG11559,CARNDEHYDRA-MONOMER[c],0.30407124681933845,1,False
