tu,coef_full,coef_seedA_train,coef_seedB_train,abs_full,abs_seedA_train,abs_seedB_train,coef_mean,coef_std,stability_score,abs_mean
tu_available__TU00090[c],0.8633882919646777,0.9234464465390382,0.8033301373903187,0.8633882919646777,0.9234464465390382,0.8033301373903187,0.8633882919646781,0.06005815457435976,0.8633882919646781,0.8633882919646781
tu_available__EG10383_RNA[c],0.8633882919646767,0.9234464465390221,0.8033301373903078,0.8633882919646767,0.9234464465390221,0.8033301373903078,0.8633882919646689,0.06005815457435715,0.8633882919646689,0.8633882919646689
tu_available__TU00112[c],0.4471427040181192,0.5121288745516788,0.38215653348455947,0.4471427040181192,0.5121288745516788,0.38215653348455947,0.4471427040181191,0.06498617053355965,0.4471427040181191,0.4471427040181191
tu_available__TU00067[c],0.8633882919646798,4.440892098500626e-16,-1.6653345369377348e-16,0.8633882919646798,4.440892098500626e-16,1.6653345369377348e-16,0.28779609732156003,0.498477462780979,0.28779609732156003,0.28779609732156003
tu_available__TU0-6512[c],0.8633882919646789,2.8449465006019636e-16,3.469446951953614e-16,0.8633882919646789,2.8449465006019636e-16,3.469446951953614e-16,0.28779609732155986,0.4984774627809784,0.28779609732155986,0.28779609732155986
tu_available__TU00205[c],0.8633882919646787,-5.551115123125783e-17,0.0,0.8633882919646787,5.551115123125783e-17,0.0,0.2877960973215596,0.49847746278097843,0.2877960973215596,0.2877960973215596
tu_available__TU0-1[c],0.8633882919646789,-7.771561172376096e-16,-2.7755575615628914e-16,0.8633882919646789,7.771561172376096e-16,2.7755575615628914e-16,0.28779609732155925,0.49847746278097893,0.28779609732155925,0.28779609732155925
tu_available__TU0-8574[c],0.1525165220467792,0.20454548785343984,0.10048755624011993,0.1525165220467792,0.20454548785343984,0.10048755624011993,0.15251652204677968,0.05202896580665996,0.15251652204677968,0.15251652204677968
tu_available__TU00116[c],0.12705472234817833,0.2114458040649597,0.0426636406313993,0.12705472234817833,0.2114458040649597,0.0426636406313993,0.12705472234817908,0.0843910817167802,0.12705472234817908,0.12705472234817908
tu_available__TU0-14459[c],0.12360724621829991,0.2040039575873987,0.043210534849199525,0.12360724621829991,0.2040039575873987,0.043210534849199525,0.12360724621829938,0.0803967113690996,0.12360724621829938,0.12360724621829938
tu_available__TU0-14159[c],0.12123948514823946,0.2081459415106794,0.034333028785799136,0.12123948514823946,0.2081459415106794,0.034333028785799136,0.12123948514823933,0.08690645636244013,0.12123948514823933,0.12123948514823933
tu_available__TU0-1002[c],0.11609959437377756,0.23237374768847993,-0.00017455894092013977,0.11609959437377756,0.23237374768847993,0.00017455894092013977,0.1160995943737791,0.11627415331470004,0.1160995943737791,0.1160995943737791
tu_available__TU0-14509[c],0.11571348133205722,0.21569954594039872,0.015727416723718968,0.11571348133205722,0.21569954594039872,0.015727416723718968,0.11571348133205829,0.09998606460833988,0.11571348133205829,0.11571348133205829
tu_available__EG10016_RNA[c],0.11285414527644047,0.1858910924052095,0.03981719814768589,0.11285414527644047,0.1858910924052095,0.03981719814768589,0.11285414527644529,0.07303694712876181,0.11285414527644529,0.11285414527644529
tu_available__TU0-13552[c],0.11122764205212174,0.20720549979180042,0.01524978431243984,0.11122764205212174,0.20720549979180042,0.01524978431243984,0.11122764205212066,0.09597785773968029,0.11122764205212066,0.11122764205212066
tu_available__TU0-13883[c],0.11015557206984108,0.1370702799597591,0.08324086417991941,0.11015557206984108,0.1370702799597591,0.08324086417991941,0.11015557206983988,0.026914707889919842,0.11015557206983988,0.11015557206983988
tu_available__TU0-14454[c],0.10935111632562233,0.1915782103843199,0.027124022266919373,0.10935111632562233,0.1915782103843199,0.027124022266919373,0.10935111632562051,0.08222709405870027,0.10935111632562051,0.10935111632562051
tu_available__TU0-42569[c],0.10420878562434116,0.16793075531879897,0.04048681592987893,0.10420878562434116,0.16793075531879897,0.04048681592987893,0.1042087856243397,0.06372196969446002,0.1042087856243397,0.1042087856243397
tu_available__TU00087[c],0.10345069463580064,0.12261963390119787,0.08428175537039838,0.10345069463580064,0.12261963390119787,0.08428175537039838,0.10345069463579896,0.019168939265399747,0.10345069463579896,0.10345069463579896
tu_available__TU0-12797[c],0.10212613834049801,0.1491672508451991,0.0550850258358003,0.10212613834049801,0.1491672508451991,0.0550850258358003,0.10212613834049915,0.0470411125046994,0.10212613834049915,0.10212613834049915
tu_available__EG10214_RNA[c],0.10116084815964399,0.2338067133640811,-0.031485017044801555,0.10116084815964399,0.2338067133640811,0.031485017044801555,0.10116084815964117,0.13264586520444133,0.10116084815964117,0.10116084815964117
tu_available__TU0-45265[c],0.10109774839913957,0.0742579889119192,0.12793750788635944,0.10109774839913957,0.0742579889119192,0.12793750788635944,0.10109774839913939,0.026839759487220116,0.10109774839913939,0.10109774839913939
tu_available__TU0-13010[c],0.10069720241273468,0.17120091902363943,0.030193485801839476,0.10069720241273468,0.17120091902363943,0.030193485801839476,0.10069720241273787,0.07050371661089998,0.10069720241273787,0.10069720241273787
tu_available__TU0-4201[c],0.10019088974249957,0.14863393019915916,0.05174784928583931,0.10019088974249957,0.14863393019915916,0.05174784928583931,0.10019088974249934,0.048443040456659925,0.10019088974249934,0.10019088974249934
tu_available__TU00280[c],0.09810287275769994,0.13027798733075927,0.06592775818463914,0.09810287275769994,0.13027798733075927,0.06592775818463914,0.09810287275769945,0.03217511457306006,0.09810287275769945,0.09810287275769945
tu_available__TU00254[c],0.09397820851289979,0.16769314528451995,0.02026327174127973,0.09397820851289979,0.16769314528451995,0.02026327174127973,0.09397820851289983,0.07371493677162011,0.09397820851289983,0.09397820851289983
tu_available__TU0-198711[c],0.09337032976013915,0.18498863313179817,0.0017520263884788778,0.09337032976013915,0.18498863313179817,0.0017520263884788778,0.09337032976013872,0.09161830337165965,0.09337032976013872,0.09337032976013872
tu_available__TU164[c],0.09330247703627928,0.13786924449023863,0.048735709582318515,0.09330247703627928,0.13786924449023863,0.048735709582318515,0.09330247703627881,0.04456676745396006,0.09330247703627881,0.09330247703627881
tu_available__TU00220[c],0.09243307681469959,0.1998264452540392,-0.014960291624640909,0.09243307681469959,0.1998264452540392,0.014960291624640909,0.0924330768146993,0.10739336843934005,0.0924330768146993,0.0924330768146993
tu_available__TU0-13736[c],0.09174006179855726,0.12169457874612005,0.06178554485099992,0.09174006179855726,0.12169457874612005,0.06178554485099992,0.09174006179855908,0.029954516947560066,0.09174006179855908,0.09174006179855908
tu_available__TU0-13839[c],0.09131472197874038,0.1351859471333995,0.04744349682408003,0.09131472197874038,0.1351859471333995,0.04744349682408003,0.09131472197873997,0.04387122515465973,0.09131472197873997,0.09131472197873997
tu_available__TU0-13440[c],0.08951573571300048,0.08088656223995849,0.09814490918603877,0.08951573571300048,0.08088656223995849,0.09814490918603877,0.08951573571299924,0.008629173473040139,0.08951573571299924,0.08951573571299924
tu_available__EG10982_RNA[c],0.08917690755743946,0.17026303273919957,0.008090782375680505,0.08917690755743946,0.17026303273919957,0.008090782375680505,0.08917690755743984,0.08108612518175953,0.08917690755743984,0.08917690755743984
tu_available__TU0-14121[c],0.08899687896065911,0.1933446107757588,-0.015350852854440905,0.08899687896065911,0.1933446107757588,0.015350852854440905,0.088996878960659,0.10434773181509985,0.088996878960659,0.088996878960659
tu_available__TU0-12812[c],0.08815109864886045,0.15949372274927917,0.016808474548439478,0.08815109864886045,0.15949372274927917,0.016808474548439478,0.08815109864885969,0.07134262410041985,0.08815109864885969,0.08815109864885969
tu_available__TU0-3426[c],0.08791020351143847,0.13742260315127908,0.03839780387159933,0.08791020351143847,0.13742260315127908,0.03839780387159933,0.08791020351143897,0.049512399639839874,0.08791020351143897,0.08791020351143897
