tu,ridge_full,ridge_A_train,ridge_B_train,enet_full,enet_A_train,enet_B_train,abs_ridge_full,abs_ridge_A_train,abs_ridge_B_train,abs_enet_full,abs_enet_A_train,abs_enet_B_train,ridge_mean,ridge_std,enet_mean,enet_std,ridge_score,enet_score
tu_available__TU0-6506[c],0.6933730509951693,0.6424292226756598,0.6536663812733543,0.770059579524398,0.0,0.0,0.6933730509951693,0.6424292226756598,0.6536663812733543,0.770059579524398,0.0,0.0,0.6631562183147278,0.02676492417821846,0.2566865265081327,0.44459410553046114,0.6631562183147278,0.2566865265081327
tu_available__TU00351[c],0.6933730509951764,0.6424292226756565,0.6536663812733507,0.7700656579584638,0.0,0.0,0.6933730509951764,0.6424292226756565,0.6536663812733507,0.7700656579584638,0.0,0.0,0.6631562183147278,0.026764924178224393,0.25668855265282126,0.4445976149160054,0.6631562183147278,0.25668855265282126
tu_available__TU00347[c],0.6933730509951764,0.6424292226756565,0.6536663812733507,0.7700655392724174,0.0,0.0,0.6933730509951764,0.6424292226756565,0.6536663812733507,0.7700655392724174,0.0,0.0,0.6631562183147278,0.026764924178224393,0.2566885130908058,0.4445975463925845,0.6631562183147278,0.2566885130908058
tu_available__TU00054[c],0.6933730509951714,0.6424292226756585,0.6536663812733527,0.7700628486470545,0.0,0.0,0.6933730509951714,0.6424292226756585,0.6536663812733527,0.7700628486470545,0.0,0.0,0.6631562183147276,0.026764924178220444,0.25668761621568487,0.44459599295930696,0.6631562183147276,0.25668761621568487
tu_available__TU0-8472[c],0.6933730509951705,0.6424292226756589,0.6536663812733533,0.7700611268178433,0.0,0.0,0.6933730509951705,0.6424292226756589,0.6536663812733533,0.7700611268178433,0.0,0.0,0.6631562183147276,0.02676492417821967,0.25668704227261446,0.4445949988607484,0.6631562183147276,0.25668704227261446
tu_available__TU00334[c],0.6933730509951757,0.6424292226756568,0.6536663812733506,0.7700652389520316,0.0,0.0,0.6933730509951757,0.6424292226756568,0.6536663812733506,0.7700652389520316,0.0,0.0,0.6631562183147276,0.02676492417822384,0.2566884129840105,0.44459737300252894,0.6631562183147276,0.2566884129840105
tu_available__TU00004[c],0.6933730509951715,0.6424292226756588,0.6536663812733526,0.7700622904366027,0.0,0.0,0.6933730509951715,0.6424292226756588,0.6536663812733526,0.7700622904366027,0.0,0.0,0.6631562183147276,0.026764924178220396,0.25668743014553425,0.4445956706763523,0.6631562183147276,0.25668743014553425
tu_available__TU00058[c],0.6933730509951721,0.6424292226756583,0.6536663812733526,0.7700631220378982,0.0,0.0,0.6933730509951721,0.6424292226756583,0.6536663812733526,0.7700631220378982,0.0,0.0,0.6631562183147276,0.026764924178220923,0.2566877073459661,0.4445961508015841,0.6631562183147276,0.2566877073459661
tu_available__TU00056[c],0.6933730509951719,0.6424292226756585,0.6536663812733525,0.7700629858132753,0.0,0.0,0.6933730509951719,0.6424292226756585,0.6536663812733525,0.7700629858132753,0.0,0.0,0.6631562183147276,0.026764924178220732,0.25668766193775844,0.4445960721522614,0.6631562183147276,0.25668766193775844
tu_available__TU361[c],0.6933730509951769,0.6424292226756557,0.6536663812733504,0.7700662392650307,0.0,0.0,0.6933730509951769,0.6424292226756557,0.6536663812733504,0.7700662392650307,0.0,0.0,0.6631562183147276,0.026764924178225003,0.2566887464216769,0.44459795053350826,0.6631562183147276,0.2566887464216769
tu_available__TU00357[c],0.6933730509951758,0.6424292226756565,0.6536663812733502,0.7700657758288796,0.0,0.0,0.6933730509951758,0.6424292226756565,0.6536663812733502,0.7700657758288796,0.0,0.0,0.6631562183147275,0.026764924178224115,0.25668859194295984,0.4445976829685217,0.6631562183147275,0.25668859194295984
tu_available__TU00090[c],0.6933730509951722,0.6424292226756579,0.6536663812733522,0.7700636574249656,0.0,0.0,0.6933730509951722,0.6424292226756579,0.6536663812733522,0.7700636574249656,0.0,0.0,0.6631562183147275,0.026764924178221194,0.25668788580832186,0.4445964599074517,0.6631562183147275,0.25668788580832186
