Constituent gene names,Mean protein copy numbers,"p (mRNA, without operons)","p (mRNA, with operons)","p (protein, without operons)","p (protein, with operons)"
"yjiA, yjiX",189.7,0.235,1.000,0.998,0.995
"yrdB, aroE, tsaC, yrdD",188.2,0.056,1.000,0.999,0.995
"yhdT, panF, prmA",186.6,0.021,1.000,0.990,0.985
"selB, selA",184.3,0.227,1.000,1.000,0.995
"yobB, exoX",184.2,0.191,1.000,1.000,0.995
"hsdS, hsdM, hsdR",184.0,0.065,1.000,1.000,1.000
"ppk, ppx",184.0,0.307,1.000,1.000,1.000
"lolA, rarA",182.5,0.264,1.000,0.999,1.000
"ybgC, tolQ, tolR, tolA",182.0,0.141,1.000,1.000,1.000
"csdA, csdE",181.8,0.209,1.000,1.000,1.000
"yjjA, dnaC, dnaT, yjjB",178.7,0.003,0.125,0.885,0.843
"bcsE, bcsF, bcsG",176.4,0.078,1.000,1.000,0.995
"ftsX, ftsE, ftsY",175.6,0.127,1.000,1.000,1.000
"mtgA, elbB",173.1,0.225,1.000,0.999,0.989
"lolC, lolD, lolE",172.0,0.168,1.000,1.000,1.000
"ymgD, ymgG",169.8,0.100,1.000,1.000,0.996
"marR, marA, marB",169.7,0.032,1.000,0.966,0.985
"yddB, yddA",166.3,0.167,1.000,1.000,0.990
"proV, proW, proX",165.1,0.118,1.000,1.000,1.000
"moeB, moeA",163.7,0.195,1.000,1.000,0.995
"mazG, mazF, mazE, relA",162.9,0.033,0.161,0.999,0.985
"yqjA, mzrA",161.8,0.322,1.000,1.000,0.995
"uxuA, uxuB",161.6,0.072,1.000,0.996,0.993
"csgG, csgF, csgE, csgD",160.9,0.012,1.000,0.997,0.983
"ibpB, ibpA",160.6,0.099,1.000,0.940,0.989
"cmoM, mukF, mukE, mukB",160.6,0.087,1.000,1.000,0.990
"ispF, ispD",158.5,0.363,1.000,1.000,1.000
"ubiC, ubiA",158.4,0.298,1.000,1.000,1.000
"yecD, yecE",156.4,0.163,1.000,0.994,0.990
"ybjT, ltaE, poxB, hcr, hcp",155.9,0.000,0.007,0.077,0.161
"tdh, kbl",155.3,0.065,1.000,0.913,0.925
"hemA, prfA, prmC",153.9,0.078,1.000,0.997,0.984
"pldB, yigL",149.9,0.265,1.000,1.000,0.985
"moaA, moaB, moaC, moaD, moaE",145.7,0.004,0.747,0.999,0.982
"tusB, tusC, tusD, yheO",145.1,0.094,1.000,1.000,0.990
"ampD, ampE",142.2,0.244,1.000,1.000,1.000
"ybbJ, qmcA",141.7,0.182,1.000,1.000,0.995
"nudJ, rluE",141.3,0.204,1.000,1.000,1.000
"degQ, degS",140.2,0.180,0.893,1.000,1.000
"menE, menC, menB, menH, menD, menF",140.2,0.001,0.974,0.901,1.000
"evgA, evgS",139.7,0.133,1.000,0.966,0.996
"tag, yiaC",139.4,0.144,1.000,0.999,0.995
"nsrR, rnr, rlmB, yjfI, yjfJ",139.1,0.000,0.000,0.090,0.000
"mntR, ybiR",136.5,0.099,1.000,0.882,0.994
"dhaM, dhaL, dhaK",133.7,0.084,0.959,1.000,0.995
"yecN, cmoA, cmoB",133.4,0.074,1.000,0.996,0.995
"iaaA, gsiA, gsiB, gsiC, gsiD",129.4,0.039,1.000,1.000,0.990
"lldP, lldR, lldD",129.0,0.035,1.000,0.991,0.979
"malQ, malP",128.5,0.105,1.000,0.992,0.977
"yheS, yheT, yheU",128.1,0.057,1.000,1.000,0.996
"yeaG, yeaH",126.0,0.170,1.000,0.972,0.987
"betA, betB, betI",125.6,0.123,1.000,1.000,0.990
"serB, radA, nadR",124.2,0.108,0.223,1.000,0.990
"phoA, psiF",123.9,0.150,0.377,0.986,0.971
"mtlA, mtlD, mtlR",123.6,0.061,1.000,1.000,0.995
"malK, lamB, malM",122.3,0.021,1.000,0.993,0.984
"ybaM, priC",121.2,0.155,1.000,0.274,0.395
"uvrC, uvrY",120.7,0.446,0.975,1.000,0.986
"waaA, coaD",120.4,0.196,0.761,1.000,0.999
"murB, birA",119.2,0.207,1.000,1.000,0.998
"dxr, ispU, cdsA",118.7,0.146,0.398,1.000,1.000
"yafD, yafE",117.6,0.174,1.000,0.707,0.952
"phoU, pstB, pstA, pstC, pstS",117.0,0.002,0.375,0.993,0.976
"dosP, dosC",115.7,0.113,1.000,0.993,1.000
"zntR, yhdN",113.5,0.189,1.000,0.992,0.982
"cydA, cydB",112.7,0.185,1.000,1.000,0.990
"fecE, fecD, fecC, fecB, fecA",111.4,0.002,1.000,0.968,0.988
"mglC, mglA, mglB",110.7,0.023,0.653,0.914,0.995
"atoD, atoA, atoE, atoB",110.5,0.000,1.000,0.058,0.929
"ybjI, ybjJ",107.9,0.115,1.000,0.985,0.980
"yheV, kefB, kefG",107.6,0.016,1.000,0.919,0.977
"iadA, yjiG, yjiH",106.3,0.000,1.000,0.114,0.575
"macA, macB",106.2,0.140,1.000,0.905,0.978
"lacI, mhpR",103.4,0.142,1.000,1.000,0.991
"yeiR, lpxT",102.4,0.120,0.894,0.997,1.000
"vsr, dcm",102.4,0.138,1.000,0.997,1.000
"tadA, pgpC",102.3,0.175,1.000,1.000,0.994
"eutR, eutK, eutL, eutC, eutB",101.9,0.000,1.000,0.894,0.984
"pcm, umpG",101.9,0.383,1.000,1.000,1.000
"brnQ, proY",101.4,0.132,1.000,1.000,1.000
"yghD, yghE",101.1,0.043,1.000,0.814,0.998
"uxaA, uxaC",101.0,0.100,1.000,0.989,0.966
"yjhQ, topAI",100.0,0.043,1.000,0.789,0.993
"tmcA, ypfJ",99.8,0.183,1.000,0.996,0.995
"sdaC, sdaB",97.6,0.091,1.000,0.980,0.990
"holD, rimI, yjjG",96.7,0.109,1.000,1.000,0.996
"yneG, glsB",96.5,0.165,1.000,1.000,0.990
