Gene,RNA ID,Monomer ID,Process,Essentiality
frdD,EG10333_RNA,FUM-MEMB2,Metabolism,0
fre,EG10334_RNA,FMNREDUCT-MONOMER,Metabolism,0
frlB,G7723_RNA,G7723-MONOMER,Metabolism,0
frlC,G7724_RNA,G7724-MONOMER,Metabolism,0
frlD,G7726_RNA,G7726-MONOMER,Metabolism,0
frmA,EG50010_RNA,ADHC-MONOMER,Metabolism,0
frmB,G6208_RNA,G6208-MONOMER,Metabolism,0
ftsW,EG10344_RNA,EG10344-MONOMER,Metabolism,0
fucA,EG10348_RNA,FUCPALDOL-MONOMER,Metabolism,0
fucI,EG10349_RNA,FUCISOM-MONOMER,Metabolism,0
fucK,EG10350_RNA,FUCULOKIN-MONOMER,Metabolism,0
fucO,EG10351_RNA,LACTALDREDUCT-MONOMER,Metabolism,0
fucP,EG10352_RNA,FUCP-MONOMER,Metabolism,0
fucU,EG10355_RNA,EG10355-MONOMER,Metabolism,0
fumA,EG10356_RNA,FUMA-MONOMER,Metabolism,0
fumB,EG10357_RNA,FUMB-MONOMER,Metabolism,0
fumC,EG10358_RNA,FUMC-MONOMER,Metabolism,0
gabD,EG11329_RNA,SUCCSEMIALDDEHYDROG-MONOMER,Metabolism,0
gabP,EG11330_RNA,GABP-MONOMER,Metabolism,0
gabT,EG10361_RNA,GABATRANSAM-MONOMER,Metabolism,0
gadA,EG50009_RNA,GLUTDECARBOXA-MONOMER,Metabolism,0
gadB,EG11490_RNA,GLUTDECARBOXB-MONOMER,Metabolism,0
gadC,G6786_RNA,XASA-MONOMER,Metabolism,0
galE,EG10362_RNA,UDPGLUCEPIM-MONOMER,Metabolism,0
galK,EG10363_RNA,GALACTOKIN-MONOMER,Metabolism,0
galM,EG11698_RNA,ALDOSE1EPIM-MONOMER,Metabolism,0
galP,EG12148_RNA,GALP-MONOMER,Metabolism,0
galT,EG10366_RNA,GALACTURIDYLYLTRANS-MONOMER,Metabolism,0
gapA,EG10367_RNA,GAPDH-A-MONOMER,Metabolism,0
garK,EG11175_RNA,GKI-MONOMER,Metabolism,0
garL,EG10016_RNA,KDGALDOL-MONOMER,Metabolism,0
garR,EG11176_RNA,TSA-REDUCT-MONOMER,Metabolism,0
